m,m_bits,p,p_bits,a,b,N
101599,17,226455161,28,165816839,41117774,226464171
108971,17,53244316901,36,45390647466,41277432874,53244211339
135367,18,3945551209,32,1377306785,2507209323,3945541949
136319,18,675708983123,40,42531953112,16715944889,675708745580
143999,18,3458827483,32,1252707650,1337062570,3458855980
152231,18,3307040777,32,1566465925,1322030463,3307066244
153563,18,3221725223,32,2396242646,1751755706,3221751740
171659,18,188151241,28,91075196,161220241,188138264
177553,18,3582951013,32,1020418676,433640118,3583019540
186211,18,1054069225147,40,522150666437,93763316462,1054070828086
192347,18,43812068689,36,18860198826,31735616624,43811837925
195677,18,643270765393,40,140871791711,278735497441,643270917924
217463,18,135935081,28,13544721,124064829,135914375
248627,18,2947705363,32,2504517367,2734351384,2947721712
269761,19,4199594669,32,4153346181,2907206192,4199639248
282239,19,62686119877,36,5536653577,26073819625,62685846378
283553,19,177509071,28,174061557,146047355,177504178
287437,19,3264742087,32,3225288740,1888372362,3264709446
335591,19,950062574533,40,596668790966,838273414402,950064161638
371227,19,1085408858603,40,212906164315,468115073383,1085407980453
405029,19,894731048479,40,681740526504,644737205823,894730527537
405047,19,2179901777,32,431715299,1820121053,2179962954
482281,19,179395589,28,49991480,91236872,179408532
516163,19,182709431,28,39446684,134122687,182721702
622399,20,979935939263,40,613245335729,643503581813,979937350348
740513,20,698653140851,40,553666581194,242916267501,698651800110
787277,20,226741063,28,130108974,167842238,226735776
871867,20,43896756353,36,25895610542,14467543918,43896759716
892141,20,67334709721,36,39717152161,36396063768,67334341975
914189,20,3603641611,32,2556640569,3420976576,3603733038
963901,20,189889759,28,73119980,170355867,189888497
974887,20,39247203421,36,38132526513,36908144749,39247000846
1049791,21,48458067971,36,27870740670,45648722983,48458352560
1431203,21,62961176197,36,17042520773,17069542605,62961482376
1475917,21,1080214952587,40,707215773659,980372535066,1080213320881
1502819,21,674943068563,40,661997875204,352255192953,674943063642
1747433,21,856517030939,40,372604135001,629235763440,856518264414
1749281,21,37452191891,36,8330398969,11905460012,37452106210
1755517,21,68400122377,36,45370863766,17311968997,68400208871
1860479,21,61262114453,36,18948474939,34013428072,61261852512
1861991,21,568025362939,40,302188090325,450595606015,568026422424
2130673,22,200300131,28,195952859,69424394,200283262
2341111,22,1058200130951,40,730279676480,195618435803,1058200900888
2417929,22,212763559,28,142790368,149859525,212777752
2729383,22,4257842473,32,401608631,3820178209,4257837480
2972789,22,2806336139,32,1344908442,1463885458,2806312816
3215231,22,228259657,28,188638081,129739208,228281401
3883933,22,2687682709,32,635433104,1204550647,2687681636
3956401,22,170141779,28,145971870,135247897,170125243
4731929,23,156138959,28,90064423,1851047,156153657
5715329,23,1030695665227,40,305493071736,323102861626,1030696716531
5838373,23,53549213489,36,10184510466,10554542712,53549557156
6271987,23,782537784703,40,100777679504,403889270333,782537002029
6725597,23,590008906153,40,372611271976,403278980606,590009722422
7023271,23,67199106941,36,35719183292,9902799510,67198656928
8693753,24,1046543762101,40,1034625295037,850108056991,1046545292387
9077191,24,3449313661,32,2839219617,1143486192,3449332580
9768839,24,700211697733,40,611916002798,377336145546,700210841842
10256179,24,246143071,28,64151114,95164295,246148296
12032963,24,168462013,28,122358861,112289943,168461482
12986221,24,3895848251,32,509887977,282285258,3895866300
13658369,24,218527181,28,100208185,94508461,218533904
14175389,24,67205279957,36,42721402154,16698324498,67205519249
15163823,24,841532019577,40,587626904411,293109914724,841531521208
