m,m_bits,p,p_bits,a,b,N,bsgs_time,rho_time,bsgs_table_size
101599,17,226455161,28,165816839,41117774,226464171,0.019984006881713867,0.04748392105102539,319
108971,17,53244316901,36,45390647466,41277432874,53244211339,0.0344393253326416,0.020931720733642578,331
135367,18,3945551209,32,1377306785,2507209323,3945541949,0.03330373764038086,0.01679706573486328,368
136319,18,675708983123,40,42531953112,16715944889,675708745580,0.02927708625793457,0.013120889663696289,370
143999,18,3458827483,32,1252707650,1337062570,3458855980,0.05010199546813965,0.03602194786071777,380
152231,18,3307040777,32,1566465925,1322030463,3307066244,0.03992938995361328,0.029438257217407227,391
153563,18,3221725223,32,2396242646,1751755706,3221751740,0.04243326187133789,0.014896392822265625,392
171659,18,188151241,28,91075196,161220241,188138264,0.033994197845458984,0.018186092376708984,415
177553,18,3582951013,32,1020418676,433640118,3583019540,0.032334327697753906,0.00676727294921875,422
186211,18,1054069225147,40,522150666437,93763316462,1054070828086,0.043363094329833984,0.017293214797973633,432
192347,18,43812068689,36,18860198826,31735616624,43811837925,0.02724289894104004,0.0164644718170166,439
195677,18,643270765393,40,140871791711,278735497441,643270917924,0.03079509735107422,0.004527568817138672,443
217463,18,135935081,28,13544721,124064829,135914375,0.05819082260131836,0.023534536361694336,467
248627,18,2947705363,32,2504517367,2734351384,2947721712,0.04766368865966797,0.01600813865661621,499
269761,19,4199594669,32,4153346181,2907206192,4199639248,0.03446078300476074,0.04576897621154785,520
282239,19,62686119877,36,5536653577,26073819625,62685846378,0.08747506141662598,0.06830310821533203,532
283553,19,177509071,28,174061557,146047355,177504178,0.0527186393737793,0.052079200744628906,533
287437,19,3264742087,32,3225288740,1888372362,3264709446,0.041577816009521484,0.03061676025390625,537
335591,19,950062574533,40,596668790966,838273414402,950064161638,0.06690549850463867,0.05072808265686035,580
371227,19,1085408858603,40,212906164315,468115073383,1085407980453,0.10129904747009277,0.03998613357543945,610
405029,19,894731048479,40,681740526504,644737205823,894730527537,0.06973481178283691,0.07587981224060059,637
405047,19,2179901777,32,431715299,1820121053,2179962954,0.05843234062194824,0.014791011810302734,637
482281,19,179395589,28,49991480,91236872,179408532,0.061697959899902344,0.037363290786743164,695
516163,19,182709431,28,39446684,134122687,182721702,0.0533905029296875,0.07701778411865234,719
622399,20,979935939263,40,613245335729,643503581813,979937350348,0.06525754928588867,0.027794361114501953,789
740513,20,698653140851,40,553666581194,242916267501,698651800110,0.07149577140808105,0.03903985023498535,861
787277,20,226741063,28,130108974,167842238,226735776,0.060979604721069336,0.04556536674499512,888
871867,20,43896756353,36,25895610542,14467543918,43896759716,0.06570744514465332,0.06601524353027344,934
892141,20,67334709721,36,39717152161,36396063768,67334341975,0.07518577575683594,0.044820308685302734,945
914189,20,3603641611,32,2556640569,3420976576,3603733038,0.07109236717224121,0.07261919975280762,957
963901,20,189889759,28,73119980,170355867,189888497,0.09604573249816895,0.07880663871765137,982
974887,20,39247203421,36,38132526513,36908144749,39247000846,0.13594460487365723,0.04791378974914551,988
1049791,21,48458067971,36,27870740670,45648722983,48458352560,0.06370162963867188,0.09340262413024902,1025
1431203,21,62961176197,36,17042520773,17069542605,62961482376,0.09092903137207031,0.05172419548034668,1197
1475917,21,1080214952587,40,707215773659,980372535066,1080213320881,0.12781119346618652,0.1327817440032959,1215
1502819,21,674943068563,40,661997875204,352255192953,674943063642,0.10268115997314453,0.14527344703674316,1226
1747433,21,856517030939,40,372604135001,629235763440,856518264414,0.10640501976013184,0.15101337432861328,1322
1749281,21,37452191891,36,8330398969,11905460012,37452106210,0.09586596488952637,0.056961774826049805,1323
