m,m_bits,p,p_bits,a,b,N
106949,17,4130370379,32,1,0,4130370380
110543,17,986009070583,40,1,0,986009070584
120041,17,925752350687,40,1,0,925752350688
122761,17,204274303,28,1,0,204274304
127051,17,211412863,28,1,0,211412864
147811,18,169687027,28,1,0,169687028
149021,18,3822090607,32,1,0,3822090608
151189,18,45247843919,36,1,0,45247843920
167663,18,45299189339,36,1,0,45299189340
175079,18,47402289091,36,1,0,47402289092
175453,18,4210871999,32,1,0,4210872000
183167,18,2319626887,32,1,0,2319626888
197507,18,44382983011,36,1,0,44382983012
209201,18,2772331651,32,1,0,2772331652
209987,18,1016767973323,40,1,0,1016767973324
225529,18,161478763,28,1,0,161478764
228799,18,40892787671,36,1,0,40892787672
229199,18,2679794707,32,1,0,2679794708
249521,18,35556742499,36,1,0,35556742500
250583,18,205478059,28,1,0,205478060
255659,18,4151902159,32,1,0,4151902160
256771,18,2914864391,32,1,0,2914864392
263843,19,232181839,28,1,0,232181840
280187,19,908528762459,40,1,0,908528762460
280487,19,1064710700831,40,1,0,1064710700832
301141,19,1098114270191,40,1,0,1098114270192
302837,19,52851113239,36,1,0,52851113240
313211,19,842491234771,40,1,0,842491234772
317827,19,56224867607,36,1,0,56224867608
336803,19,744329241151,40,1,0,744329241152
336829,19,185929607,28,1,0,185929608
362357,19,266694751,28,1,0,266694752
378757,19,2372533847,32,1,0,2372533848
386501,19,37090181963,36,1,0,37090181964
400931,19,3747902987,32,1,0,3747902988
510613,19,1015174214723,40,1,0,1015174214724
516701,19,47588162099,36,1,0,47588162100
523847,19,699587191559,40,1,0,699587191560
573691,20,3132352859,32,1,0,3132352860
651029,20,234370439,28,1,0,234370440
704993,20,52285100851,36,1,0,52285100852
706369,20,36541881107,36,1,0,36541881108
713381,20,65591102663,36,1,0,65591102664
748133,20,3258867347,32,1,0,3258867348
750157,20,249052123,28,1,0,249052124
803227,20,192774479,28,1,0,192774480
810391,20,54769465343,36,1,0,54769465344
814603,20,60994214227,36,1,0,60994214228
819229,20,144184303,28,1,0,144184304
829637,20,2631608563,32,1,0,2631608564
856279,20,3175082531,32,1,0,3175082532
876079,20,839648130863,40,1,0,839648130864
1074427,21,829504918787,40,1,0,829504918788
1079999,21,1085182995199,40,1,0,1085182995200
1129253,21,645869477831,40,1,0,645869477832
1159079,21,926090212051,40,1,0,926090212052
1252259,21,43788992711,36,1,0,43788992712
1416871,21,2873414387,32,1,0,2873414388
1586857,21,42058057927,36,1,0,42058057928
1625207,21,182023183,28,1,0,182023184
1661173,21,239208911,28,1,0,239208912
1742033,21,1041289773551,40,1,0,1041289773552
1836299,21,3665252803,32,1,0,3665252804
2298599,22,2795096383,32,1,0,2795096384
2615959,22,3285644503,32,1,0,3285644504
3000859,22,700796603987,40,1,0,700796603988
3515441,22,55262732519,36,1,0,55262732520
3712711,22,904683714791,40,1,0,904683714792
4563061,23,200774683,28,1,0,200774684
4614139,23,147652447,28,1,0,147652448
4699391,23,187975639,28,1,0,187975640
5338097,23,57993085807,36,1,0,57993085808
5626589,23,635016834539,40,1,0,635016834540
5715049,23,205741763,28,1,0,205741764
6088847,23,3239266603,32,1,0,3239266604
7091323,23,141826459,28,1,0,141826460
7689043,23,153780859,28,1,0,153780860
8341831,23,868785014987,40,1,0,868785014988
10073449,24,745596401183,40,1,0,745596401184
11158237,24,66636991363,36,1,0,66636991364
12685061,24,951278094511,40,1,0,951278094512
12837259,24,2464753727,32,1,0,2464753728
13558499,24,57596503751,36,1,0,57596503752
14408881,24,974616710839,40,1,0,974616710840
14535331,24,735197041979,40,1,0,735197041980
15063533,24,836749131083,40,1,0,836749131084
15833581,24,59407595911,36,1,0,59407595912
20002613,25,51926783347,36,1,0,51926783348
23302837,25,3635242571,32,1,0,3635242572
23326621,25,826882061207,40,1,0,826882061208
24548423,25,60978282731,36,1,0,60978282732
24914641,25,35478448783,36,1,0,35478448784
26359261,25,60731737343,36,1,0,60731737344
27969673,25,38150633971,36,1,0,38150633972
30975677,25,2230248743,32,1,0,2230248744
31335739,25,665821782271,40,1,0,665821782272
31492849,25,251942791,28,1,0,251942792
42531947,26,2551916819,32,1,0,2551916820
48444629,26,1058805811423,40,1,0,1058805811424
53330273,26,213321091,28,1,0,213321092
59652367,26,1071595120787,40,1,0,1071595120788
68765113,27,3850846327,32,1,0,3850846328
77090269,27,2466888607,32,1,0,2466888608
81486211,27,697847911003,40,1,0,697847911004
89691803,27,3228904907,32,1,0,3228904908
170038237,28,46250400463,36,1,0,46250400464
296345629,29,2370765031,32,1,0,2370765032
334472011,29,4013664131,32,1,0,4013664132
376746589,29,3013972711,32,1,0,3013972712
413920271,29,41392027099,36,1,0,41392027100
419409527,29,52006781347,36,1,0,52006781348
441206977,29,688282884119,40,1,0,688282884120
670027903,30,56282343851,36,1,0,56282343852
695780149,30,47313050131,36,1,0,47313050132
1634197511,31,65367900439,36,1,0,65367900440
3073313987,32,676129077139,40,1,0,676129077140
5218797191,33,62625566291,36,1,0,62625566292
6448258711,33,51586069687,36,1,0,51586069688
6859888379,33,1097582140639,40,1,0,1097582140640
9693429521,34,38773718083,36,1,0,38773718084
9795480059,34,979548005899,40,1,0,979548005900
9976633091,34,598597985459,40,1,0,598597985460
18075408991,35,578413087711,40,1,0,578413087712
41402085713,36,993650057111,40,1,0,993650057112
52360492489,36,1047209849779,40,1,0,1047209849780
57462365381,36,689548384571,40,1,0,689548384572
87618852239,37,1051426226867,40,1,0,1051426226868
188794353581,38,755177414323,40,1,0,755177414324
