m,m_bits,p,p_bits,a,b,N,embedding_degree,time_before_mov,time_after_mov
106949,17,4130370379,32,1,0,4130370380,2,0.02433300018310547,0.01002645492553711
110543,17,986009070583,40,1,0,986009070584,2,0.03674030303955078,0.014040708541870117
120041,17,925752350687,40,1,0,925752350688,2,0.03146100044250488,0.014465808868408203
122761,17,204274303,28,1,0,204274304,2,0.03580212593078613,0.01642131805419922
127051,17,211412863,28,1,0,211412864,2,0.033190250396728516,0.015422821044921875
147811,18,169687027,28,1,0,169687028,2,0.03542947769165039,0.015587806701660156
149021,18,3822090607,32,1,0,3822090608,2,0.02693629264831543,0.009217262268066406
151189,18,45247843919,36,1,0,45247843920,2,0.021363258361816406,0.011146306991577148
167663,18,45299189339,36,1,0,45299189340,2,0.036141395568847656,0.014314889907836914
175079,18,47402289091,36,1,0,47402289092,2,0.028292417526245117,0.012490272521972656
175453,18,4210871999,32,1,0,4210872000,2,0.03308892250061035,0.011565208435058594
183167,18,2319626887,32,1,0,2319626888,2,0.031675100326538086,0.012829065322875977
197507,18,44382983011,36,1,0,44382983012,2,0.03927898406982422,0.014809846878051758
209201,18,2772331651,32,1,0,2772331652,2,0.04536175727844238,0.019026756286621094
209987,18,1016767973323,40,1,0,1016767973324,2,0.0478208065032959,0.02027106285095215
225529,18,161478763,28,1,0,161478764,2,0.05103111267089844,0.026195049285888672
228799,18,40892787671,36,1,0,40892787672,2,0.03866100311279297,0.013252973556518555
229199,18,2679794707,32,1,0,2679794708,2,0.0461575984954834,0.01907801628112793
249521,18,35556742499,36,1,0,35556742500,2,0.04215073585510254,0.016170024871826172
250583,18,205478059,28,1,0,205478060,2,0.059824228286743164,0.021631956100463867
255659,18,4151902159,32,1,0,4151902160,2,0.040192365646362305,0.01722097396850586
256771,18,2914864391,32,1,0,2914864392,2,0.043695688247680664,0.020484209060668945
263843,19,232181839,28,1,0,232181840,2,0.043793678283691406,0.0209043025970459
280187,19,908528762459,40,1,0,908528762460,2,0.032788753509521484,0.01883864402770996
280487,19,1064710700831,40,1,0,1064710700832,2,0.05040931701660156,0.021460771560668945
301141,19,1098114270191,40,1,0,1098114270192,2,0.029354333877563477,0.01385951042175293
302837,19,52851113239,36,1,0,52851113240,2,0.047280073165893555,0.01650214195251465
313211,19,842491234771,40,1,0,842491234772,2,0.053081512451171875,0.02660536766052246
317827,19,56224867607,36,1,0,56224867608,2,0.04079627990722656,0.017204999923706055
336803,19,744329241151,40,1,0,744329241152,2,0.0427393913269043,0.019492626190185547
336829,19,185929607,28,1,0,185929608,2,0.05604863166809082,0.02263784408569336
362357,19,266694751,28,1,0,266694752,2,0.07035994529724121,0.03053593635559082
378757,19,2372533847,32,1,0,2372533848,2,0.06871414184570312,0.028443336486816406
386501,19,37090181963,36,1,0,37090181964,2,0.052346229553222656,0.021793603897094727
400931,19,3747902987,32,1,0,3747902988,2,0.05868935585021973,0.021060705184936523
510613,19,1015174214723,40,1,0,1015174214724,2,0.06318497657775879,0.025511741638183594
516701,19,47588162099,36,1,0,47588162100,2,0.06577205657958984,0.030943870544433594
523847,19,699587191559,40,1,0,699587191560,2,0.059557437896728516,0.02278447151184082
573691,20,3132352859,32,1,0,3132352860,2,0.05837607383728027,0.02320694923400879
651029,20,234370439,28,1,0,234370440,2,0.07629251480102539,0.03248167037963867
704993,20,52285100851,36,1,0,52285100852,2,0.06578850746154785,0.027814388275146484
706369,20,36541881107,36,1,0,36541881108,2,0.051993370056152344,0.023213863372802734
713381,20,65591102663,36,1,0,65591102664,2,0.06104683876037598,0.026088953018188477
748133,20,3258867347,32,1,0,3258867348,2,0.07103633880615234,0.022409915924072266
750157,20,249052123,28,1,0,249052124,2,0.06964683532714844,0.027696847915649414
803227,20,192774479,28,1,0,192774480,2,0.08948659896850586,0.027851343154907227
810391,20,54769465343,36,1,0,54769465344,2,0.08445620536804199,0.04109072685241699
814603,20,60994214227,36,1,0,60994214228,2,0.09437179565429688,0.03533005714416504
819229,20,144184303,28,1,0,144184304,2,0.1210627555847168,0.03616619110107422
829637,20,2631608563,32,1,0,2631608564,2,0.06601524353027344,0.026691675186157227
856279,20,3175082531,32,1,0,3175082532,2,0.08839941024780273,0.0337977409362793
876079,20,839648130863,40,1,0,839648130864,2,0.06460118293762207,0.028756141662597656
1074427,21,829504918787,40,1,0,829504918788,2,0.09697890281677246,0.045972585678100586
1079999,21,1085182995199,40,1,0,1085182995200,2,0.0727682113647461,0.024258136749267578
1129253,21,645869477831,40,1,0,645869477832,2,0.08276820182800293,0.03206467628479004
1159079,21,926090212051,40,1,0,926090212052,2,0.08736371994018555,0.03537559509277344
1252259,21,43788992711,36,1,0,43788992712,2,0.08200621604919434,0.03348541259765625
1416871,21,2873414387,32,1,0,2873414388,2,0.10220217704772949,0.038223981857299805
1586857,21,42058057927,36,1,0,42058057928,2,0.17363595962524414,0.04584527015686035
1625207,21,182023183,28,1,0,182023184,2,0.10409188270568848,0.046956539154052734
1661173,21,239208911,28,1,0,239208912,2,0.1668715476989746,0.05544734001159668
1742033,21,1041289773551,40,1,0,1041289773552,2,0.11221575736999512,0.05076789855957031
1836299,21,3665252803,32,1,0,3665252804,2,0.21336078643798828,0.062024831771850586
2298599,22,2795096383,32,1,0,2795096384,2,0.10582470893859863,0.044100046157836914
2615959,22,3285644503,32,1,0,3285644504,2,0.09677433967590332,0.09400081634521484
3000859,22,700796603987,40,1,0,700796603988,2,0.10359358787536621,0.045514822006225586
3515441,22,55262732519,36,1,0,55262732520,2,0.18162775039672852,0.08178591728210449
3712711,22,904683714791,40,1,0,904683714792,2,0.31701064109802246,0.06636834144592285
4563061,23,200774683,28,1,0,200774684,2,0.22672224044799805,0.1117396354675293
4614139,23,147652447,28,1,0,147652448,2,0.24054169654846191,0.12635374069213867
4699391,23,187975639,28,1,0,187975640,2,0.054305315017700195,0.02424788475036621
5338097,23,57993085807,36,1,0,57993085808,2,0.17269015312194824,0.054280996322631836
5626589,23,635016834539,40,1,0,635016834540,2,0.15016746520996094,0.0668644905090332
5715049,23,205741763,28,1,0,205741764,2,0.15044951438903809,0.06350898742675781
6088847,23,3239266603,32,1,0,3239266604,2,0.1468946933746338,0.13378000259399414
7091323,23,141826459,28,1,0,141826460,2,0.20699381828308105,0.11005783081054688
7689043,23,153780859,28,1,0,153780860,2,0.21124744415283203,0.09334778785705566
8341831,23,868785014987,40,1,0,868785014988,2,0.22681879997253418,0.06478047370910645
10073449,24,745596401183,40,1,0,745596401184,2,0.2517731189727783,0.12175822257995605
11158237,24,66636991363,36,1,0,66636991364,2,0.20386576652526855,0.09374618530273438
12685061,24,951278094511,40,1,0,951278094512,2,0.38426852226257324,0.13757753372192383
12837259,24,2464753727,32,1,0,2464753728,2,0.20313525199890137,0.09302401542663574
13558499,24,57596503751,36,1,0,57596503752,2,0.3339860439300537,0.10866022109985352
14408881,24,974616710839,40,1,0,974616710840,2,0.3550598621368408,0.14595699310302734
14535331,24,735197041979,40,1,0,735197041980,2,0.34304213523864746,0.13223624229431152
15063533,24,836749131083,40,1,0,836749131084,2,0.28467750549316406,0.246734619140625
15833581,24,59407595911,36,1,0,59407595912,2,0.3237941265106201,0.11891412734985352
20002613,25,51926783347,36,1,0,51926783348,2,0.32031917572021484,0.14793729782104492
23302837,25,3635242571,32,1,0,3635242572,2,0.40241408348083496,0.1786670684814453
23326621,25,826882061207,40,1,0,826882061208,2,0.4934065341949463,0.18409466743469238
24548423,25,60978282731,36,1,0,60978282732,2,0.579801082611084,0.19267964363098145
24914641,25,35478448783,36,1,0,35478448784,2,0.44464707374572754,0.18404793739318848
26359261,25,60731737343,36,1,0,60731737344,2,0.44319891929626465,0.19729375839233398
27969673,25,38150633971,36,1,0,38150633972,2,0.31326866149902344,0.13846254348754883
30975677,25,2230248743,32,1,0,2230248744,2,0.5194692611694336,0.22123217582702637
31335739,25,665821782271,40,1,0,665821782272,2,0.39247822761535645,0.17631220817565918
31492849,25,251942791,28,1,0,251942792,2,0.48323512077331543,0.20318126678466797
42531947,26,2551916819,32,1,0,2551916820,2,0.5647199153900146,0.21962642669677734
48444629,26,1058805811423,40,1,0,1058805811424,2,0.6255214214324951,0.2287430763244629
