smooth_p,smooth_a,smooth_b,smooth_N,smooth_order,smooth_bits,smooth_largest_factor,smooth_largest_factor_bits,smooth_num_factors,prime_p,prime_a,prime_b,prime_N,prime_order,prime_bits
34047619,25067796,12079502,34042764,34042764,26,6869,13,5,35061457,4964655,3074491,35066327,35066327,26
44696923,19396461,27583514,44698841,44698841,26,3301,12,3,47142727,37854706,6183028,47145359,47145359,26
59371997,7710040,38195193,59374662,59374662,26,547,10,5,50886991,15715013,47688426,50885371,50885371,26
60765833,40178088,15876996,60769705,60769705,26,1823,11,4,50992709,20342542,46614378,50998819,50998819,26
64532161,23077936,13593600,64522198,64522198,26,5527,13,4,66347201,13546403,6094507,66339233,66339233,26
80951939,61189591,67666432,80939775,80939775,27,1021,10,5,105222443,19895156,56438440,105232627,105232627,27
83574683,6066349,39306681,83557916,83557916,27,191,8,5,91098347,19763696,34017799,91087861,91087861,27
86988907,70411317,30254210,86990219,86990219,27,2237,12,3,93702979,65893031,6419799,93708829,93708829,27
95655883,25248456,54837943,95645378,95645378,27,1019,10,4,67861271,48688883,64220952,67857637,67857637,27
125319647,101267300,103260932,125329032,125329032,27,367,9,5,103155379,3668519,4360203,103158119,103158119,27
160025891,147916424,115635831,160015744,160015744,28,659,10,4,198884107,160935716,32915496,198896059,198896059,28
175573633,120602270,127798434,175588683,175588683,28,1483,11,4,207529909,107200577,60853045,207528169,207528169,28
195613753,95114804,33483260,195602041,195602041,28,3433,12,3,201408199,65599792,94232613,201404233,201404233,28
245220827,205814093,141575342,245225875,245225875,28,1307,11,4,180022069,139611008,30327647,180024049,180024049,28
245986469,190455531,166063058,245994920,245994920,28,701,10,5,193561729,75642087,66472516,193546321,193546321,28
294722401,145260843,285986851,294695704,294695704,29,8819,14,3,496400321,281197149,444873449,496375547,496375547,29
306582257,77018086,131436431,306595695,306595695,29,8513,14,4,351442831,57636703,276043032,351420989,351420989,29
452895257,280774641,408676868,452893425,452893425,29,9787,14,4,419242339,48547754,293045562,419269261,419269261,29
460928173,456120035,45261015,460923736,460923736,29,709,10,6,497163731,5236762,216820258,497154641,497154641,29
479304029,406501483,234178331,479327873,479327873,29,1427,11,3,504478817,110845150,430665826,504461861,504461861,29
625418291,39756858,373514334,625381146,625381146,30,2423,12,5,567216323,119349154,484869704,567223733,567223733,30
753002423,202289563,634149365,752987703,752987703,30,6287,13,5,811420069,308658976,161945860,811405981,811405981,30
953142431,827390431,640035850,953093067,953093067,30,461,9,5,790912819,627273629,145865971,790944403,790944403,30
1027024807,115668544,599602317,1027034316,1027034316,30,5881,13,5,545416357,471192583,218490543,545396461,545396461,30
1040491423,543016553,596096005,1040514274,1040514274,30,7477,13,4,732386821,99553763,136539898,732349483,732349483,30
1356736753,885699885,1327121462,1356761796,1356761796,31,233,8,6,2143798021,1969518380,585520698,2143826903,2143826903,31
1584754169,1059058231,1403324931,1584736125,1584736125,31,1061,11,5,1766681113,708157595,1301635845,1766691431,1766691431,31
1634586419,1606311342,69598664,1634535574,1634535574,31,6619,13,5,2083911839,1143132684,1706103638,2083926241,2083926241,31
1708489333,1576794874,736259031,1708520510,1708520510,31,8863,14,5,1625665381,895083623,112943244,1625677201,1625677201,31
1985104651,1521120484,397063451,1985123326,1985123326,31,6551,13,4,1951750891,382666639,1005470359,1951734923,1951734923,31
2522177479,2386258142,1401633614,2522235025,2522235025,32,5849,13,4,3334310029,2869054799,1090150744,3334310821,3334310821,32
2584371073,2110223951,1868848035,2584438878,2584438878,32,2803,12,6,2708565257,1218578147,1409207965,2708533943,2708533943,32
2748498499,149729445,2604775282,2748439281,2748439281,32,6337,13,5,3936772519,2047211715,406178550,3936802333,3936802333,32
3754698667,1619595542,838273914,3754653849,3754653849,32,1889,11,4,2209370857,1321293883,1886015765,2209308679,2209308679,32
4107371269,2571267867,1333727219,4107398860,4107398860,32,409,9,6,2770560869,525716212,145938140,2770549169,2770549169,32
4855014623,740499463,1432254221,4854918624,4854918624,33,3793,12,5,5714684893,1050169355,3204917404,5714810279,5714810279,33
5902041697,2408119643,688475961,5901960024,5901960024,33,3037,12,4,8494257911,5583350642,5712108775,8494394501,8494394501,33
6272991299,5732589828,1952091291,6272917640,6272917640,33,5477,13,6,5841204893,4449167473,3189946634,5841172999,5841172999,33
6391499759,2768528063,4753122319,6391474260,6391474260,33,1627,11,6,5853547339,4365613246,1092133562,5853486517,5853486517,33
7798853189,7186487639,6445124233,7799016690,7799016690,33,5503,13,6,6152475943,5175634019,1181284745,6152408599,6152408599,33
10439221711,7254684997,8492775293,10439176077,10439176077,34,5261,13,5,16059843491,1270466336,3306827705,16059818639,16059818639,34
10746268657,1921666015,10614455926,10746172149,10746172149,34,1171,11,5,16104566321,11618342306,4411192782,16104447199,16104447199,34
12569341063,2435142251,8272404468,12569318578,12569318578,34,7829,13,4,11605973713,5194049452,10154252479,11606128433,11606128433,34
14620699109,4060192536,5654817447,14620511909,14620511909,34,1231,11,4,13652235287,2559995448,13213694042,13652312617,13652312617,34
15298787173,6525814280,15032503209,15298674318,15298674318,34,4721,13,5,11487653767,10451736681,7464354458,11487505741,11487505741,34
22017282731,14106680756,21105859296,22017039178,22017039178,35,7537,13,4,17841049637,14501649861,14940824471,17840848141,17840848141,35
26292336043,20662315759,13441848548,26292205670,26292205670,35,877,10,6,18398890591,12415024696,17787862611,18398947997,18398947997,35
29493662689,10622157737,13842325068,29493795804,29493795804,35,1439,11,7,18025994011,12859002709,7575818382,18026028103,18026028103,35
29842400377,3273825910,3971781572,29842263634,29842263634,35,1097,11,5,18573016279,4557614827,10600824673,18572830739,18572830739,35
33514009129,6380930721,9281492320,33514217716,33514217716,35,107,7,7,26346726779,14039261607,7349144330,26346529249,26346529249,35
