smooth_p,smooth_a,smooth_b,smooth_N,smooth_order,smooth_bits,smooth_largest_factor,smooth_largest_factor_bits,smooth_num_factors,smooth_time,prime_p,prime_a,prime_b,prime_N,prime_order,prime_bits,prime_time,speedup
34047619,25067796,12079502,34042764,34042764,26,6869,13,5,0.021118974685668944,35061457,4964655,3074491,35066327,35066327,26,0.5533768177032471,26.20282593921386
44696923,19396461,27583514,44698841,44698841,26,3301,12,3,0.01773943901062012,47142727,37854706,6183028,47145359,47145359,26,0.5399140357971192,30.435801012303003
59371997,7710040,38195193,59374662,59374662,26,547,10,5,0.013492965698242187,50886991,15715013,47688426,50885371,50885371,26,0.6078804492950439,45.05165601764157
60765833,40178088,15876996,60769705,60769705,26,1823,11,4,0.009637212753295899,50992709,20342542,46614378,50998819,50998819,26,0.41510663032531736,43.07330770334526
64532161,23077936,13593600,64522198,64522198,26,5527,13,4,0.01310415267944336,66347201,13546403,6094507,66339233,66339233,26,0.5321805000305175,40.611591840299255
80951939,61189591,67666432,80939775,80939775,27,1021,10,5,0.011877155303955078,105222443,19895156,56438440,105232627,105232627,27,0.7471503734588623,62.906508699946194
83574683,6066349,39306681,83557916,83557916,27,191,8,5,0.011350774765014648,91098347,19763696,34017799,91087861,91087861,27,0.6792049884796143,59.83776460555446
86988907,70411317,30254210,86990219,86990219,27,2237,12,3,0.009803962707519532,93702979,65893031,6419799,93708829,93708829,27,0.6728429317474365,68.62969105659423
95655883,25248456,54837943,95645378,95645378,27,1019,10,4,0.01037459373474121,67861271,48688883,64220952,67857637,67857637,27,0.4771846294403076,45.995500319435955
125319647,101267300,103260932,125329032,125329032,27,367,9,5,0.014005088806152343,103155379,3668519,4360203,103158119,103158119,27,0.5797638416290283,41.39665586228499
160025891,147916424,115635831,160015744,160015744,28,659,10,4,0.013409185409545898,198884107,160935716,32915496,198896059,198896059,28,0.9486864089965821,70.74899630526545
175573633,120602270,127798434,175588683,175588683,28,1483,11,4,0.011148452758789062,207529909,107200577,60853045,207528169,207528169,28,0.9959613800048828,89.33628742514969
195613753,95114804,33483260,195602041,195602041,28,3433,12,3,0.009856271743774413,201408199,65599792,94232613,201404233,201404233,28,0.9489589214324952,96.27970353312273
245220827,205814093,141575342,245225875,245225875,28,1307,11,4,0.012529373168945312,180022069,139611008,30327647,180024049,180024049,28,0.9460922718048096,75.50994443598721
245986469,190455531,166063058,245994920,245994920,28,701,10,5,0.012500333786010741,193561729,75642087,66472516,193546321,193546321,28,0.9498985767364502,75.98985699081827
